year,relative_yield,density
2012,1.0085213032581453,0.9763558724271676
2012,1.0157894736842106,0.9751252921396492
2012,1.0230576441102757,0.9735661239071245
2012,1.0303258145363408,0.9716796183426334
2012,1.037593984962406,0.9694673731348044
2012,1.0448621553884712,0.9669313309106816
2012,1.0521303258145362,0.9640737764645427
2012,1.0593984962406016,0.9608973333582493
2012,1.0666666666666667,0.9574049599003202
2012,1.0739348370927317,0.9535999445125732
2012,1.081203007518797,0.9494859004947825
2012,1.0884711779448621,0.9450667601993837
2012,1.0957393483709272,0.9403467686298091
2012,1.1030075187969925,0.9353304764775296
2012,1.1102756892230576,0.9300227326143425
2012,1.1175438596491227,0.924428676057843
2012,1.124812030075188,0.9185537274293658
2012,1.1320802005012531,0.9124035799249683
2012,1.1393483709273182,0.9059841898212431
2012,1.1466165413533835,0.8993017665388998
2012,1.1538847117794486,0.8923627622881385
2012,1.1611528822055137,0.8851738613208209
2012,1.168421052631579,0.8777419688153861
2012,1.1756892230576441,0.870074199421285
2012,1.1829573934837092,0.8621778654904549
2012,1.1902255639097745,0.8540604650240403
2012,1.1974937343358396,0.8457296693631289
2012,1.2047619047619047,0.8371933106527596
2012,1.21203007518797,0.8284593691088697
2012,1.219298245614035,0.8195359601181381
2012,1.2265664160401002,0.8104313212008999
2012,1.2338345864661655,0.801153798867431
2012,1.2411027568922306,0.791711835397927
2012,1.2483709273182957,0.782113955576432
2012,1.255639097744361,0.7723687534088344
2012,1.262907268170426,0.7624848788547871
2012,1.2701754385964912,0.7524710246030919
2012,1.2774436090225565,0.7423359129196709
2012,1.2847117794486216,0.7320882825967454
2012,1.2919799498746867,0.7217368760312661
2012,1.2992481203007518,0.7112904264599867
2012,1.306516290726817,0.7007576453778324
2012,1.3137844611528822,0.6901472101654238
2012,1.3210526315789473,0.6794677519507295
2012,1.3283208020050126,0.6687278437289078
2012,1.3355889724310777,0.6579359887633857
2012,1.3428571428571427,0.6471006092901728
2012,1.350125313283208,0.6362300355463198
2012,1.3573934837092732,0.6253324951422657
2012,1.3646616541353382,0.6144161027966255
2012,1.3719298245614036,0.6034888504507506
2012,1.3791979949874686,0.5925585977791165
2012,1.3864661654135337,0.5816330631102978
2012,1.393734335839599,0.5707198147719852
2012,1.4010025062656641,0.5598262628721449
2012,1.4082706766917292,0.5489596515270763
2012,1.4155388471177945,0.5381270515457643
2012,1.4228070175438596,0.5273353535785494
2012,1.4300751879699247,0.5165912617367688
2012,1.43734335839599,0.5059012876886678
2012,1.4446115288220551,0.49527174523551715
2012,1.4518796992481202,0.4847087453705267
2012,1.4591478696741855,0.4742181918218345
2012,1.4664160401002506,0.4638057770795321
2012,1.4736842105263157,0.45347697890541183
2012,1.480952380952381,0.443237057322882
2012,1.488220551378446,0.43309105208326626
2012,1.4954887218045112,0.42304378060352676
2012,1.5027568922305765,0.4130998363693168
2012,1.5100250626566416,0.4032635877961597
2012,1.5172932330827067,0.3935391775404987
2012,1.524561403508772,0.3839305222513642
2012,1.531829573934837,0.3744413127524385
2012,1.5390977443609022,0.3650750146433986
2012,1.5463659147869675,0.35583486930856956
2012,1.5536340852130326,0.34672389532012415
